0 209.341 0 209.341
0.05 209.341 1.05553 208.286
0.1 209.341 4.1907 205.15
0.15 209.341 9.31125 200.03
0.2 209.341 16.2629 193.078
0.25 209.341 24.8368 184.504
0.3 209.341 34.7763 174.565
0.35 209.341 45.786 163.555
0.4 209.341 57.5414 151.8
0.45 209.341 69.7001 139.641
0.5 209.341 81.9131 127.428
0.55 209.341 93.836 115.505
0.6 209.341 105.14 104.201
0.65 209.341 115.525 93.8165
0.7 209.341 124.723 84.6184
0.75 209.341 132.513 76.8284
0.8 209.341 138.724 70.6177
0.85 209.341 143.239 66.1025
0.9 209.341 146 63.3408
0.95 209.341 147.009 62.3319
1 209.341 146.324 63.0175
1.05 209.341 144.056 65.2849
1.1 209.341 140.369 68.972
1.15 209.341 135.467 73.874
1.2 209.341 129.59 79.7514
1.25 209.341 123.002 86.3391
1.3 209.341 115.985 93.3563
1.35 209.341 108.824 100.517
1.4 209.341 101.802 107.54
1.45 209.341 95.1832 114.158
1.5 209.341 89.2114 120.13
1.55 209.341 84.0963 125.245
1.6 209.341 80.0089 129.332
1.65 209.341 77.076 132.265
1.7 209.341 75.3768 133.964
1.75 209.341 74.9409 134.4
1.8 209.341 75.7494 133.592
1.85 209.341 77.7361 131.605
1.9 209.341 80.792 128.549
1.95 209.341 84.7706 124.571
2 209.341 89.494 119.847
2.05 209.341 94.7612 114.58
2.1 209.341 100.356 108.985
2.15 209.341 106.055 103.286
2.2 209.341 111.639 97.7026
2.25 209.341 116.896 92.4453
2.3 209.341 121.635 87.7063
2.35 209.341 125.689 83.6524
2.4 209.341 128.921 80.4202
2.45 209.341 131.23 78.1108
2.5 209.341 132.554 76.7874
2.55 209.341 132.868 76.4736
2.6 209.341 132.188 77.1536
2.65 209.341 130.568 78.7735
2.7 209.341 128.097 81.2444
2.75 209.341 124.894 84.4468
2.8 209.341 121.105 88.2358
2.85 209.341 116.894 92.4474
2.9 209.341 112.436 96.9051
2.95 209.341 107.914 101.427
3 209.341 103.506 105.835
3.05 209.341 99.3837 109.957
3.1 209.341 95.7009 113.64
3.15 209.341 92.5911 116.75
3.2 209.341 90.1613 119.18
3.25 209.341 88.4886 120.853
3.3 209.341 87.6182 121.723
3.35 209.341 87.5619 121.779
3.4 209.341 88.2986 121.043
3.45 209.341 89.776 119.565
3.5 209.341 91.9137 117.427
3.55 209.341 94.6068 114.734
3.6 209.341 97.7308 111.61
3.65 209.341 101.147 108.194
